yr,mon,wk,qtr,product_group,visits,clicks,x,sub.apps,used.apps,app.used.conv.rate,total.rev,avg.invoice.val,profit,y,value.per.sub.app,profit.per.sub.app
2013,7,27,3,Bing/Yahoo!,20174,0,0,454,88,1.3734,159484.4785,12468.89049,56935.95884,56935.95884,351.2873977,125.409601
2013,7,28,3,Bing/Yahoo!,20385,0,0,465,79,1.1934,165232.2981,14405.01038,58987.93043,58987.93043,355.3382755,126.8557644
2013,7,29,3,Bing/Yahoo!,17120,0,0,404,89,1.5155,193300.3983,15915.96701,69008.24221,69008.24221,478.4663325,170.8124807
2013,7,30,3,Bing/Yahoo!,16942,0,0,425,93,1.5365,183770.2581,13506.17125,65605.98215,65605.98215,432.4006073,154.3670168
2013,7,31,3,Bing/Yahoo!,4266,0,0,148,23,0.4392,41062.90951,5134.987018,14659.45869,14659.45869,277.4520913,99.05039658
2013,5,18,2,Brand,12648,10520,2375.030007,443,126,1.465,364040.0958,14481.89054,129962.3142,127587.2842,821.7609387,288.0074136
2013,5,19,2,Brand,16649,13598,3428.43,576,116,1.4245,223998.7478,13402.27331,79967.55296,76539.12296,388.8867149,132.8804218
2013,5,20,2,Brand,17593,14292,3812.429971,673,156,1.6089,318698.9874,13992.0339,113775.5385,109963.1085,473.5497584,163.3924347
2013,5,21,2,Brand,19815,16443,3921.500035,809,182,1.5465,367631.1159,13421.32127,131244.3084,127322.8084,454.4265957,157.3829522
2013,5,22,2,Brand,12596,10188,2481.890011,471,98,1.1308,180073.608,8993.077284,64286.27804,61804.38803,382.3218853,131.2195075
2013,6,22,2,Brand,5149,4116,785.390012,119,32,1.2368,77968.23926,4427.66203,27834.66142,27049.2714,655.1952879,227.3048017
2013,6,23,2,Brand,18216,15044,3705.980013,710,153,1.5134,307678.6764,13577.30305,109841.2875,106135.3075,433.3502485,149.4863485
2013,6,24,2,Brand,19794,16038,4301.159952,581,178,3.1597,303177.6567,11904.99218,108234.4234,103933.2635,521.8204073,178.8868562
2013,6,25,2,Brand,20011,16130,4272.379968,815,176,1.5081,372513.6065,15586.84774,132987.3575,128714.9775,457.0719098,157.9324878
2013,6,26,2,Brand,21669,17463,5013.4701,1085,254,1.7437,477107.0055,13042.30683,170327.2009,165313.7308,439.7299589,152.3628856
2013,7,27,3,Brand,20882,16874,4127.419999,865,179,1.4275,378798.0061,15081.48492,135230.8882,131103.4682,437.91677,151.5647031
2013,7,28,3,Brand,19758,15809,4885.880001,825,179,1.5096,363958.0358,14435.07538,129933.0188,125047.1388,441.1612555,151.5722894
2013,7,29,3,Brand,19191,15441,6245.000006,762,164,1.5115,352869.6758,15295.26507,125974.4742,119729.4742,463.083564,157.1252943
2013,7,30,3,Brand,18274,14758,6567.809981,684,164,1.7261,339756.8266,14487.74731,121293.1871,114725.3771,496.7205067,167.7271595
2013,7,31,3,Brand,6641,5580,872.5999954,274,47,0.5142,94433.21928,6008.523903,33712.65928,32840.05929,344.6467857,119.854231
2013,5,18,2,Electronics,4304,4299,5879.630009,66,9,0.6666,22607.53975,8380.680757,6601.401608,721.7715989,342.5384811,10.93593332
2013,5,19,2,Electronics,2799,2676,3801.180005,62,14,2.0666,19366.31977,9599.141913,5654.965374,1853.785369,312.3599964,29.89976402
2013,5,20,2,Electronics,4305,4192,5879.499982,62,13,1.6706,22204.3197,8784.731557,6483.661353,604.1613709,358.1341887,9.74453824
2013,5,21,2,Electronics,4546,4424,6220.680007,70,11,1.2018,27126.4997,13463.67985,7920.937913,1700.257906,387.5214243,24.28939866
2013,5,22,2,Electronics,2613,2421,3373.429997,41,6,0.854,14031.6699,8166.52162,4097.247611,723.8176131,342.2358512,17.65408812
2013,6,22,2,Electronics,761,694,991.1600018,6,4,0.3333,7803.699898,3901.849949,2278.68037,1287.520368,1300.61665,214.5867281
2013,6,23,2,Electronics,3246,3110,4367.639993,55,17,1.6515,26205.67968,5424.179371,7652.058467,3284.418474,476.4669033,59.71669953
2013,6,24,2,Electronics,3885,3726,5091.929986,71,19,3.5045,30140.02956,9376.707359,8800.88863,3708.958645,424.5074585,52.23885415
2013,6,25,2,Electronics,3346,3187,4597.10999,54,13,2.025,24928.19969,10085.17188,7279.034309,2681.92432,461.6333276,49.66526518
2013,6,26,2,Electronics,3844,3681,5282.259995,59,10,1.575,17248.69982,10552.17491,5036.620347,-245.6396478,292.3508444,-4.163383862
2013,7,27,3,Electronics,5018,4897,6831.35999,80,17,1.4218,32920.03972,11057.9534,9612.651597,2781.291607,411.5004965,34.76614509
